Format block usage						
Message type		Uses format list				

Variable list - Variables in ALL CAPS are types of a format block; others are embedded or secondary variables						
TableStart	Definitions					
ColumnHeadingsStart	Content	Tablename			Notes	TableType
RowHeadingsStart						
%race1%	Race involved with this report	n/a				0
%race2%	Race involved with this report	n/a				0
%REPORT	The text of whatever event has occurred	ReportType				16
%subject%	The subject of this report	n/a				0
%value1%	Misc text value 1	n/a				0
%value2%	Misc text value 2	n/a				0
%value3%	Misc text value 3	n/a				0
TableEnd						


TableStart	Sitrep Formats						
ColumnHeadingsStart	Format						
RowHeadingsStart							
1	%REPORT						
TableEnd							

"Note: If you change the number of columns in front of the text tags, the code needs to be updated to reflect this (look for NUM_COLUMNS_BEFORE_TEXT_TAGS in SitrepReporter.cpp). "							

TableStart	ReportType						
ColumnHeadingsStart	Type	Priority	Class	Icon	TextTag	TextTag2	TextTag3
ExplorationComplete	New	Event	Reg	ICO_SitRep_ExplorationComplete	SITRF014	SITRF014	SITRF014
ExpCompleteSpecial	New	Event	Reg	ICO_SitRep_ExplorationComplete	SITRF015	SITRF015	SITRF015
ExpSecondaryComplete	New	Green	Reg	sitrep_system	SITRF016	SITRF016	SITRF016
ExpSecondarySpecial	New	Yellow	Reg	sitrep_system	SITRF017	SITRF017	SITRF017
ExpEntireSystem	New	Yellow	Reg	sitrep_system	SITRF018	SITRF018	SITRF018
ForeignShipsEncountered	New	Red	Reg	sitrep_conflict	SITRF023	SITRF023	SITRF023
ColonyShipLanded	New	Event	Reg	ICO_SitRep_ColonyShipLanded	SITRCOL1 	SITRCOL1 	SITRCOL1 
ColonyTFChristened	New	Yellow	TF_Built	sitrep_TaskForces	SITRCOL2	SITRCOL2	SITRCOL2
ColonyTFDisbanded	New	Red	TF_Built	sitrep_TaskForces	SITRCOL3	SITRCOL3	SITRCOL3
TrainingDepotsS	New	Yellow	Spies	sitrep_spy	TRAINSD1	TRAINSD2	TRAINSD2
SupportDisruptedS	New	Yellow	Spies	sitrep_spy	SUPRTSD1	SUPRTSD2	SUPRTSD2
RepairFacilitiesS	New	Yellow	Spies	sitrep_spy	REPARSD1	REPARSD2	REPARSD2
MilBuildDestroyedS	New	Yellow	Spies	sitrep_spy	MILTBSD1	MILTBSD2	MILTBSD2
ProductionSabotageS	New	Yellow	Spies	sitrep_spy	MILTPSD1	MILTPSD2	MILTPSD2
MobilizationCenterS	New	Yellow	Spies	sitrep_spy	MOBLESD1	MOBLESD2	MOBLESD2
GovBuildDestroyedS	New	Yellow	Spies	sitrep_spy	GOVSBSD1	GOVSBSD2	GOVSBSD2
EconBuildDestroyedS	New	Yellow	Spies	sitrep_spy	GOVEBSD1	GOVEBSD2	GOVEBSD2
CivilTradeS	New	Yellow	Spies	sitrep_spy	CIVTDSD1	CIVTDSD2	CIVTDSD2
RecBuildDestroyedS	New	Yellow	Spies	sitrep_spy	RECCBSD1	RECCBSD2	RECCBSD2
CitizenFearS	New	Yellow	Spies	sitrep_spy	CIVFRSD1	CIVFRSD2	CIVFRSD2
ScienceBuildDestroyedS	New	Yellow	Spies	sitrep_spy	SCIBDSD1	SCIBDSD2	SCIBDSD2
ProjectFacilityS	New	Yellow	Spies	sitrep_spy	PROFDSD1	PROFDSD2	PROFDSD2
UniversityProfessorS	New	Yellow	Spies	sitrep_spy	UNIPFSD1	UNIPFSD2	UNIPFSD2
MajorGovResearchS	New	Yellow	Spies	sitrep_spy	MJGOVSD1	MJGOVSD2	MJGOVSD2
LeaderKilledMS	New	Yellow	Spies	sitrep_spy	LDKILL01	LDKILL01	LDKILL01
LeaderKilledPS	New	Yellow	Spies	sitrep_spy	LDKILL02	LDKILL02	LDKILL02
LeaderKilledOS	New	Yellow	Spies	sitrep_spy	LDKILL03	LDKILL03	LDKILL03
TrainingDepotsT	New	Yellow	Spies	sitrep_spy	TRAINRC1	TRAINRC2	TRAINRC2
SupportDisruptedT	New	Yellow	Spies	sitrep_spy	SUPRTRC1	SUPRTRC2	SUPRTRC2
RepairFacilitiesT	New	Yellow	Spies	sitrep_spy	REPARRC1	REPARRC2	REPARRC2
MilBuildDestroyedT	New	Yellow	Spies	sitrep_spy	MILTBRC1	MILTBRC2	MILTBRC2
ProductionSabotageT	New	Yellow	Spies	sitrep_spy	MILTPRC1	MILTPRC2	MILTPRC2
MobilizationCenterT	New	Yellow	Spies	sitrep_spy	MOBLERC1	MOBLERC2	MOBLERC2
GovBuildDestroyedT	New	Yellow	Spies	sitrep_spy	GOVSBRC1	GOVSBRC2	GOVSBRC2
EconBuildDestroyedT	New	Yellow	Spies	sitrep_spy	GOVEBRC1	GOVEBRC2	GOVEBRC2
CivilTradeT	New	Yellow	Spies	sitrep_spy	CIVTDRC1	CIVTDRC2	CIVTDRC2
RecBuildDestroyedT	New	Yellow	Spies	sitrep_spy	RECCBRC1	RECCBRC2	RECCBRC2
CitizenFearT	New	Yellow	Spies	sitrep_spy	CIVFRRC1	CIVFRRC2	CIVFRRC2
ScienceBuildDestroyedT	New	Yellow	Spies	sitrep_spy	SCIBDRC1	SCIBDRC2	SCIBDRC2
ProjectFacilityT	New	Yellow	Spies	sitrep_spy	PROFDRC1	PROFDRC2	PROFDRC2
UniversityProfessorT	New	Yellow	Spies	sitrep_spy	UNIPFRC1	UNIPFRC2	UNIPFRC2
MajorGovResearchT	New	Yellow	Spies	sitrep_spy	MJGOVRC1	MJGOVRC2	MJGOVRC2
ConstructionComplete	New	Yellow	Const	sitrep_Planet	SITRF025	SITRF025	SITRF025
MiltConstructionComplete	New	Yellow	Milt_Const	sitrep_Planet	SITRF025	SITRF025	SITRF025
LeaderKilledT	New	Red	Spies	sitrep_spy	LDKILL04	LDKILL05	LDKILL05
ScandalCorrect	New	Red	Reg	sitrep_empire	SCANDA01	SCANDA01	SCANDA01
ScandalLie	New	Red	Reg	sitrep_empire	SCANDA02	SCANDA02	SCANDA02
ScandalAccuser	New	Red	Reg	sitrep_empire	SCANDA03	SCANDA03	SCANDA03
EmpireMod	New	Event	Reg	sitrep_empire	EVTEST1	EVTEST1	EVTEST1
SystemMod	New	Event	Reg	sitrep_system	EVTEST4	EVTEST4	EVTEST4
PlanetMod	New	Event	Reg	sitrep_Planet	EVTEST5	EVTEST5	EVTEST5
LeaderMod	New	Event	Reg	ICO_SitRep_LeaderKilled	EVTEST6	EVTEST6	EVTEST6
ResearchApp	New	Event	Reg	ICO_SitRep_Tech	EVTEST7	EVTEST7	EVTEST7
ResearchFld	New	Event	Reg	ICO_SitRep_Tech	EVTEST8	EVTEST8	EVTEST8
ResearchSab	New	Event	Reg	ICO_SitRep_Tech	EVTEST9	EVTEST9	EVTEST9
CollateralDam	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	EVTES10	EVTES10	EVTES10
BuildingDestroy	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	EVTES11	EVTES11	EVTES11
AntaranExp1	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA01	ANTARA01	ANTARA01
AntaranExp2	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA02	ANTARA02	ANTARA02
AntaranExp3	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA03	ANTARA03	ANTARA03
AntaranExp4	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA04	ANTARA04	ANTARA04
AntaranExp5	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA05	ANTARA05	ANTARA05
AntaranExp6	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA06	ANTARA06	ANTARA06
AntaranExp7	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA07	ANTARA07	ANTARA07
AntaranExp8	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA08	ANTARA08	ANTARA08
AntaranExp9	New	Event	Reg	ICO_SitRep_AntaranExpedition	ANTARA09	ANTARA09	ANTARA09
DriftingDebris	New	Event	Reg	ICO_SitRep_DriftingDebris	Event001	Event002	Event003
ScientificGather	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event004	Event005	Event006
ResearchSuccess	New	Event	Reg	ICO_SitRep_ResearchBreakthrough	Event007	Event008	Event009
ScientificSymposium	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event010	Event005	Event010
ScientificCongress	New	Event	Reg	ICO_SitRep_ScientificSymposium	Event004	Event011	Event006
HFogCleaning	New	Event	Reg	ICO_SitRep_PendingMessages	Event018	Event019	Event020
HfogWashing	New	Event	Reg	ICO_SitRep_PendingMessages	Event021	Event022	Event023
HFogScrubbing	New	Event	Reg	ICO_SitRep_PendingMessages	Event024	Event025	Event026
HfogLaundering	New	Event	Reg	ICO_SitRep_PendingMessages	Event027	Event028	Event029
MiningAgitation	New	Event	Reg	ICO_SitRep_Unrest	Event030	Event031	Event032
ExoticAnimal	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event033	Event034	Event035
MiningUnrest	New	Event	Reg	ICO_SitRep_Unrest	Event036	Event037	Event038
ExoticAnimalV	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event039	Event040	Event041
MinerUprising	New	Event	Reg	ICO_SitRep_Revolt	Event042	Event043	Event044
ExoticAnimalP	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event045	Event046	Event047
MinerRevolt	New	Event	Reg	ICO_SitRep_Revolt	Event048	Event049	Event050
ExoticAnimalD	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event051	Event052	Event053
AIGlitchEffects	New	Event	Reg	ICO_SitRep_AIUprising	Event054	Event055	Event056
CrackpotTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event057	Event058	Event059
AIUprising	New	Event	Reg	ICO_SitRep_Revolt	Event060	Event061	Event062
ResearchFailure	New	Event	Reg	ICO_SitRep_ResearchFailure	Event063	Event064	Event065
LoonyTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event066	Event067	Event068
AIRevolt	New	Event	Reg	ICO_SitRep_AIUprising	Event069	Event070	Event071
Dramatic	New	Event	Reg	ICO_SitRep_ResearchFailure	Event072	Event073	Event074
RavingTime	New	Event	Reg	ICO_SitRep_ResearchFailure	Event075	Event076	Event077
AIInsurrection	New	Event	Reg	ICO_SitRep_AIUprising	Event078	Event079	Event080
WhispersofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event081	Event082	Event083
MurmursofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event084	Event085	Event086
RumorsofPirate	New	Event	Reg	ICO_SitRep_Pirate	Event087	Event088	Event089
ForLangReform	New	Event	Reg	ICO_SitRep_PendingMessages	Event090	Event091	Event092
ForLangInnovation	New	Event	Reg	ICO_SitRep_PendingMessages	Event093	Event094	Event095
ForLangRevolution	New	Event	Reg	ICO_SitRep_PendingMessages	Event096	Event097	Event098
LocalEntStar	New	Event	Reg	ICO_SitRep_Psionic	Event012	Event013	Event014
SysEntStar	New	Event	Reg	ICO_SitRep_Psionic	Event015	Event016	Event017
LeaderWounded	New	Event	Reg	ICO_SitRep_SpaceCombat	Event099	Event100	Event101
LeaderKilled	New	Event	Reg	ICO_SitRep_LeaderKilled	Event102	Event103	Event104
MechTransGlitch	New	Event	Reg	ICO_SitRep_Tech	Event105	Event106	Event107
MechTransFailure	New	Event	Reg	ICO_SitRep_Tech	Event108	Event109	Event110
MechTransDisaster	New	Event	Reg	ICO_SitRep_Tech	Event111	Event112	Event113
PlanetaryNaniteRelease	New	Event	Reg	ICO_SitRep_PlanetarySpecial	Event114	Event115	Event116
Psionic	New	Event	Reg	ICO_SitRep_Psionic	Event117	Event118	Event119
VoidCrystal	New	Event	Reg	ICO_SitRep_VoidCrystal	Event120	Event121	Event122
MinorEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event123	Event124	Event125
Earthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event126	Event127	Event128
ScathHiveAttacks	New	Event	Reg	ICO_SitRep_ExoticAnimal	Event129	Event130	Event131
StrongEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event132	Event133	Event134
DevistatingEarthquake	New	Event	Reg	ICO_SitRep_EarthQuake	Event135	Event136	Event137
AncientOrionRelic	New	Event	Reg	ICO_SitRep_AntaranExpedition	Event138	Event139	Event140
EconDevMaintScrap	New	Red	Reg	sitrep_scrap	ECNSCRP1	ECNSCRP2	ECNSCRP3
SecurityMaintScrap	New	Red	Reg	sitrep_scrap	SECSCRP1	SECSCRP2	SECSCRP3
SocialMaintScrap	New	Red	Reg	sitrep_scrap	SOCSCRP1	SOCSCRP2	SOCSCRP3
MilitaryMaintReserveScrap	New	Red	Reg	sitrep_scrap	RSVSCRP1	RSVSCRP1	RSVSCRP1
MilitaryMaintGFDisband	New	Red	Reg	sitrep_GrndForce	GFDSBND1	GFDSBND1	GFDSBND1
MilitaryMaintGFDestroyed1	New	Red	Reg	sitrep_GrndForce	GFDSRY11	GFDSRY11	GFDSRY11
MilitaryMaintGFDestroyed2	New	Red	Reg	sitrep_GrndForce	GFDSRY21	GFDSRY21	GFDSRY21
MilitaryMaintShipDestroyed1	New	Red	Reg	sitrep_ship	SHPDES11	SHPDES11	SHPDES11
MilitaryMaintShipDestroyed2	New	Red	Reg	sitrep_ship	SHPDES21	SHPDES21	SHPDES21
MilitaryMaintShipScrapped	New	Red	Reg	sitrep_scrap	SHPSCRP1	SHPSCRP1	SHPSCRP1
SenateElectionStarts	New	Red	Reg	sitrep_senate	SENELRP1	SENELRP1	SENELRP1
SpecialDiscovered	New	Green	Reg	sitrep_Planet	SPDSC01	SPDSC01	SPDSC01
PendingMessages	New	Event	Reg	ICO_SitRep_PendingMessages	DIPLO001	DIPLO002	DIPLO003
AcceptedOffer	New	Red	Reg	sitrep_diplomacy	DIPLO004	DIPLO005	DIPLO006
DeclinedOffer	New	Red	Reg	sitrep_diplomacy	DIPLO007	DIPLO008	DIPLO009
CounterOffer	New	Event	Reg	ICO_SitRep_PendingMessages	DIPLO010	DIPLO011	DIPLO012
DeclaredWar	New	Event	Reg	ICO_SitRep_DeclaredWar	DIPLO013	DIPLO014	DIPLO015
BrokenTreaty	New	Yellow	Reg	sitrep_diplomacy	DIPLO016	DIPLO017	DIPLO018
EnforcedPeaceExpiring	New	Yellow	Reg	sitrep_diplomacy	DIPLO019	DIPLO020	DIPLO021
EnforcedPeaceExpired	New	Yellow	Reg	sitrep_diplomacy	DIPLO022	DIPLO023	DIPLO024
BrokenTradeAgreement	New	Yellow	Reg	sitrep_diplomacy	DIPLO025	DIPLO026	DIPLO027
OutpostTFChristened	New	Yellow	Reg	sitrep_TaskForces	SITROUT2	SITROUT2	SITROUT2
SBAttackWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL10	SBATTL11	SBATTL12
SBAttackLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL07	SBATTL08	SBATTL09
SBDefendWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL04	SBATTL05	SBATTL06
SBDefendLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL01	SBATTL02	SBATTL03
SBSystemWon	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL16	SBATTL17	SBATTL18
SBSystemLost	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL13	SBATTL14	SBATTL15
SBDraw	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL19	SBATTL20	SBATTL21
SBNoFight	New	Event	Reg	ICO_SitRep_SpaceCombat	SBATTL22	SBATTL23	SBATTL24
MigratedColony	New	Green	Reg	sitrep_Planet	COLONY02	COLONY02	COLONY03
Unrest1	New	Yellow	Reg	sitrep_unrest	UNREST01	UNREST02	UNREST03
Unrest2	New	Yellow	Reg	sitrep_unrest	UNREST04	UNREST05	UNREST06
Unrest3	New	Event	Reg	ICO_SitRep_Unrest	UNREST07	UNREST08	UNREST09
Revolt	New	Event	Reg	ICO_SitRep_Revolt	REVOLT01	REVOLT02	REVOLT03
RevoltPlanetLeft	New	Event	Reg	ICO_SitRep_Revolt	REVOLT04	REVOLT05	REVOLT06
EntourageLeader	New	Red	Reg	sitrep_Person	ENTLD001	ENTLD002	ENTLD003
RevoltDestroyBuildings	New	Event	Reg	ICO_SitRep_MilitaryBuildingDestroyed	REVOL001	REVOL002	REVOL003
NewColony	New	Yellow	Reg	sitrep_Planet	NEWCOL01	NEWCOL02	NEWCOL03
NewOutpost	New	Yellow	Reg	sitrep_Planet	NEWOUT01	NEWOUT02	NEWOUT03
TargetedMigration	New	Yellow	Migrate	sitrep_Planet	MIGRAT01	MIGRAT02	MIGRAT03
LostPlanetPopDown	New	Red	Reg	sitrep_Planet	LOSTPL01	LOSTPL02	LOSTPL03
BillProposed	New	Yellow	Reg	sitrep_senate	BILLPR01	BILLPR02	BILLPR03
GroundForceFormed	New	Green	Reg	sitrep_GrndForce	NEWGRF01	NEWGRF02	NEWGRF03
TaskForceFormed	New	Green	TF_Built	sitrep_TaskForces	NEWTAF01	NEWTAF02	NEWTAF03
SpyBuilt	New	Red	Spies	sitrep_spy	NEWSPY01	NEWSPY02	NEWSPY03
SpyDeadNoLuck	New	Yellow	Spies	sitrep_spy	SPY01	SPY02	SPY03
SpyDeadImprisonedKilled	New	Yellow	Spies	sitrep_spy	SPY04	SPY05	SPY06
SpyDeadSuicideCaptured	New	Yellow	Spies	sitrep_spy	SPY07	SPY08	SPY09
SpyDeadKilledCaptured	New	Yellow	Spies	sitrep_spy	SPY10	SPY11	SPY12
SpyDeadSuicideEscaping	New	Yellow	Spies	sitrep_spy	SPY13	SPY14	SPY15
SpyDeadKilledEscaping	New	Yellow	Spies	sitrep_spy	SPY16	SPY17	SPY18
SpyDeadKilledSqueeze	New	Yellow	Spies	sitrep_spy	SPY19	SPY20	SPY21
SpyPrisonEscapeCapture	New	Yellow	Spies	sitrep_spy	SPY22	SPY23	SPY24
SpyPrisonSqueeze	New	Yellow	Spies	sitrep_spy	SPY25	SPY26	SPY27
SpyEscapesPrison	New	Yellow	Spies	sitrep_spy	SPY28	SPY29	SPY30	
SpyEscapesCapture	New	Yellow	Spies	sitrep_spy	SPY31	SPY32	SPY33	
SpySqueezeLetGo	New	Yellow	Spies	sitrep_spy	SPY34	SPY35	SPY36	
SpyInsertFailedEvades	New	Yellow	Spies	sitrep_spy	SPY37	SPY38	SPY39	
SpyMissionFailedEvades	New	Yellow	Spies	sitrep_spy	SPY40	SPY41	SPY42	
SpyExtractFailedEvades	New	Yellow	Spies	sitrep_spy	SPY43	SPY44	SPY45	
SpyMissionFailed	New	Yellow	Spies	sitrep_spy	SPY46	SPY47	SPY48	
SpyInsertFailed	New	Yellow	Spies	sitrep_spy	SPY49	SPY50	SPY51	
SpyExtractFailed	New	Yellow	Spies	sitrep_spy	SPY52	SPY53	SPY54	
SpyInsertSuccess	New	Yellow	Spies	sitrep_spy	SPY55	SPY56	SPY57	
SpyExtractSuccess	New	Yellow	Spies	sitrep_spy	SPY58	SPY59	SPY60	
StealTechS	New	Red	Spies	sitrep_spy	STEAL01	STEAL02	STEAL03	
SpecialResearch	New	Red	Reg	sitrep_tech	SPDSC12	SPDSC12	SPDSC12	
SpecialLeader	New	Red	Reg	sitrep_Person	SPDSC13	SPDSC13	SPDSC13	
DarlokGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srDarGrd	srDarGrd	srDarGrd	
BulratGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srBulGrd	srBulGrd	srBulGrd	
MrrshaGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srMrrGrd	srMrrGrd	srMrrGrd
ElereGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srEleGrd	srEleGrd	srEleGrd
AlkariGd	New	Event	Reg	ICO_SitRep_AntaranExpedition	srAlkgrd	srAlkgrd	srAlkgrd
SPLINCOL	New	Red	Reg	sitrep_Planet	SPLINCOL	SPLINCOL	SPLINCOL
ColonyShipBlocked	New	Red	Reg	sitrep_TaskForces	COLSHP01	COLSHP01	COLSHP01
ColonyFailedColonyExists	New	Red	Reg	sitrep_Planet	COLPROB1	COLPROB1	COLPROB1
ColonyFailedNoRegion	New	Red	Reg	sitrep_Planet	COLPROB2	COLPROB2	COLPROB2
OutpostFailedColonyExists	New	Red	Reg	sitrep_Planet	COLPROB3	COLPROB3	COLPROB3
OutpostFailedNoRegion	New	Red	Reg	sitrep_Planet	COLPROB4	COLPROB4	COLPROB4
OwnedOutpostExists	New	Red	Reg	sitrep_Planet	COLPROB5	COLPROB5	COLPROB5
UnownedOutpostExists	New	Red	Reg	sitrep_Planet	COLPROB6	COLPROB6	COLPROB6
SpyDeadImprisonedKilledE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadSuicideCapturedE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadKilledCapturedE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadSuicideEscapingE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadKilledEscapingE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyDeadKilledSqueezeE	New	Yellow	Spies	sitrep_spy	SPY70	SPY71	SPY72
SpyPrisonEscapeCaptureE	New	Yellow	Spies	sitrep_spy	SPY76	SPY77	SPY78
SpyPrisonSqueezeE	New	Yellow	Spies	sitrep_spy	SPY79	SPY79	SPY79
SpyEscapesPrisonE	New	Yellow	Spies	sitrep_spy	SPY80	SPY81	SPY82
SpyEscapesCaptureE	New	Yellow	Spies	sitrep_spy	SPY83	SPY84	SPY85
LeaderDied	New	Event	Reg	ICO_SitRep_LeaderKilled	LeaderDied	LeaderDied	LeaderDied
EmpireKilled	New	Event	Reg	ICO_SitRep_Revolt	EmpireKilled	EmpireKilled	EmpireKilled
EmpireDied	New	Event	Reg	ICO_SitRep_Revolt	EmpireDied	EmpireDied	EmpireDied
EmpireBankrupt	New	Red	Reg	sitrep_empire	EmpBankrupt	EmpBankrupt	EmpBankrupt
StealTechT	New	Red	Reg	sitrep_tech	StlTch01	StlTch02	StlTch03
WarLapse	New	Red	Reg	sitrep_diplomacy	WARLAP01	WARLAP01	WARLAP02
BillFail	New	Yellow	Reg	sitrep_senate	BILLFAIL	BILLFAIL	BILLFAIL
BillSeconded	New	Yellow	Reg	sitrep_senate	BILL2NDD	BILL2NDD	BILL2NDD
GroundForceDisband	New	Green	Reg	sitrep_TaskForces	GFDISBAN	GFDISBAN	GFDISBAN
TaskForceDisband	New	Green	Reg	sitrep_TaskForces	TFDISBAN	TFDISBAN	TFDISBAN
LW01SSIT	New	Yellow	Reg	sitrep_senate	LW01SSIT	LW01SSIT	LW01SSIT
LW02SSIT	New	Yellow	Reg	sitrep_senate	LW02SSIT	LW02SSIT	LW02SSIT
LW03SSIT	New	Yellow	Reg	sitrep_senate	LW03SSIT	LW03SSIT	LW03SSIT
LW04SSIT	New	Yellow	Reg	sitrep_senate	LW04SSIT	LW04SSIT	LW04SSIT
LW05SSIT	New	Yellow	Reg	sitrep_senate	LW05SSIT	LW05SSIT	LW05SSIT
LW06SSIT	New	Yellow	Reg	sitrep_senate	LW06SSIT	LW06SSIT	LW06SSIT
LW07SSIT	New	Yellow	Reg	sitrep_senate	LW07SSIT	LW07SSIT	LW07SSIT
LW08SSIT	New	Yellow	Reg	sitrep_senate	LW08SSIT	LW08SSIT	LW08SSIT
LW09SSIT	New	Yellow	Reg	sitrep_senate	LW09SSIT	LW09SSIT	LW09SSIT
LW10SSIT	New	Yellow	Reg	sitrep_senate	LW10SSIT	LW10SSIT	LW10SSIT
LW11SSIT	New	Yellow	Reg	sitrep_senate	LW11SSIT	LW11SSIT	LW11SSIT
LW12SSIT	New	Yellow	Reg	sitrep_senate	LW12SSIT	LW12SSIT	LW12SSIT
LW13SSIT	New	Yellow	Reg	sitrep_senate	LW13SSIT	LW13SSIT	LW13SSIT
LW14SSIT	New	Yellow	Reg	sitrep_senate	LW14SSIT	LW14SSIT	LW14SSIT
LW15SSIT	New	Yellow	Reg	sitrep_senate	LW15SSIT	LW15SSIT	LW15SSIT
LW16SSIT	New	Yellow	Reg	sitrep_senate	LW16SSIT	LW16SSIT	LW16SSIT
LW17SSIT	New	Yellow	Reg	sitrep_senate	LW17SSIT	LW17SSIT	LW17SSIT
LW18SSIT	New	Yellow	Reg	sitrep_senate	LW18SSIT	LW18SSIT	LW18SSIT
LW19SSIT	New	Yellow	Reg	sitrep_senate	LW19SSIT	LW19SSIT	LW19SSIT
LW20SSIT	New	Yellow	Reg	sitrep_senate	LW20SSIT	LW20SSIT	LW20SSIT
LW21SSIT	New	Yellow	Reg	sitrep_senate	LW21SSIT	LW21SSIT	LW21SSIT
LW22SSIT	New	Yellow	Reg	sitrep_senate	LW22SSIT	LW22SSIT	LW22SSIT
LW23SSIT	New	Yellow	Reg	sitrep_senate	LW23SSIT	LW23SSIT	LW23SSIT
LW24SSIT	New	Yellow	Reg	sitrep_senate	LW24SSIT	LW24SSIT	LW24SSIT
LW25SSIT	New	Yellow	Reg	sitrep_senate	LW25SSIT	LW25SSIT	LW25SSIT
LW01ESIT	New	Yellow	Reg	sitrep_senate	LW01ESIT	LW01ESIT	LW01ESIT
LW02ESIT	New	Yellow	Reg	sitrep_senate	LW02ESIT	LW02ESIT	LW02ESIT
LW03ESIT	New	Yellow	Reg	sitrep_senate	LW03ESIT	LW03ESIT	LW03ESIT
LW04ESIT	New	Yellow	Reg	sitrep_senate	LW04ESIT	LW04ESIT	LW04ESIT
LW05ESIT	New	Yellow	Reg	sitrep_senate	LW05ESIT	LW05ESIT	LW05ESIT
LW06ESIT	New	Yellow	Reg	sitrep_senate	LW06ESIT	LW06ESIT	LW06ESIT
LW07ESIT	New	Yellow	Reg	sitrep_senate	LW07ESIT	LW07ESIT	LW07ESIT
